" Single Year Age Groups for Custom Region - Greece"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
Greece,2010,Total,10749943,5263431,5486512,100.0,100.0,100.0,95.9
Greece,2010,0+,100438,51751,48687,0.9,1.0,0.9,106.3
Greece,2010,1-1,101407,52248,49159,0.9,1.0,0.9,106.3
Greece,2010,2-2,102203,52656,49547,1.0,1.0,0.9,106.3
Greece,2010,3-3,102790,52957,49833,1.0,1.0,0.9,106.3
Greece,2010,4-4,103151,53140,50011,1.0,1.0,0.9,106.3
Greece,2010,5-5,103282,53203,50079,1.0,1.0,0.9,106.2
Greece,2010,6-6,103200,53159,50041,1.0,1.0,0.9,106.2
Greece,2010,7-7,102910,53002,49908,1.0,1.0,0.9,106.2
Greece,2010,8-8,102433,52752,49681,1.0,1.0,0.9,106.2
Greece,2010,9-9,101790,52416,49374,0.9,1.0,0.9,106.2
Greece,2010,10-10,101006,52013,48993,0.9,1.0,0.9,106.2
Greece,2010,11-11,100717,51869,48848,0.9,1.0,0.9,106.2
Greece,2010,12-12,101528,52317,49211,0.9,1.0,0.9,106.3
Greece,2010,13-13,101490,52088,49402,0.9,1.0,0.9,105.4
Greece,2010,14-14,101234,52126,49108,0.9,1.0,0.9,106.1
Greece,2010,15-15,102858,53241,49617,1.0,1.0,0.9,107.3
Greece,2010,16-16,103240,53202,50038,1.0,1.0,0.9,106.3
Greece,2010,17-17,104169,53748,50421,1.0,1.0,0.9,106.6
Greece,2010,18-18,105382,54248,51134,1.0,1.0,0.9,106.1
Greece,2010,19-19,107084,54747,52337,1.0,1.0,1.0,104.6
Greece,2010,20-20,109170,55703,53467,1.0,1.1,1.0,104.2
Greece,2010,21-21,111115,56500,54615,1.0,1.1,1.0,103.5
Greece,2010,22-22,114788,58098,56690,1.1,1.1,1.0,102.5
Greece,2010,23-23,119539,60282,59257,1.1,1.1,1.1,101.7
Greece,2010,24-24,125480,63102,62378,1.2,1.2,1.1,101.2
Greece,2010,25-25,132074,66255,65819,1.2,1.3,1.2,100.7
Greece,2010,26-26,138798,69543,69255,1.3,1.3,1.3,100.4
Greece,2010,27-27,145283,72710,72573,1.4,1.4,1.3,100.2
Greece,2010,28-28,151595,75771,75824,1.4,1.4,1.4,99.9
Greece,2010,29-29,157616,78796,78820,1.5,1.5,1.4,100.0
Greece,2010,30-30,160898,80377,80521,1.5,1.5,1.5,99.8
Greece,2010,31-31,162065,80867,81198,1.5,1.5,1.5,99.6
Greece,2010,32-32,163030,81396,81634,1.5,1.5,1.5,99.7
Greece,2010,33-33,165036,82264,82772,1.5,1.6,1.5,99.4
Greece,2010,34-34,167017,83259,83758,1.6,1.6,1.5,99.4
Greece,2010,35-35,167952,83761,84191,1.6,1.6,1.5,99.5
Greece,2010,36-36,167421,83708,83713,1.6,1.6,1.5,100.0
Greece,2010,37-37,167005,83652,83353,1.6,1.6,1.5,100.4
Greece,2010,38-38,167261,84225,83036,1.6,1.6,1.5,101.4
Greece,2010,39-39,167913,84699,83214,1.6,1.6,1.5,101.8
Greece,2010,40-40,168717,84724,83993,1.6,1.6,1.5,100.9
Greece,2010,41-41,169319,84566,84753,1.6,1.6,1.5,99.8
Greece,2010,42-42,169363,84473,84890,1.6,1.6,1.5,99.5
Greece,2010,43-43,167561,83679,83882,1.6,1.6,1.5,99.8
Greece,2010,44-44,163623,81708,81915,1.5,1.6,1.5,99.7
Greece,2010,45-45,158770,79158,79612,1.5,1.5,1.5,99.4
Greece,2010,46-46,154216,76754,77462,1.4,1.5,1.4,99.1
Greece,2010,47-47,152310,75656,76654,1.4,1.4,1.4,98.7
Greece,2010,48-48,151269,75078,76191,1.4,1.4,1.4,98.5
Greece,2010,49-49,152360,75559,76801,1.4,1.4,1.4,98.4
Greece,2010,50-50,152699,75629,77070,1.4,1.4,1.4,98.1
Greece,2010,51-51,149969,74331,75638,1.4,1.4,1.4,98.3
Greece,2010,52-52,147097,72834,74263,1.4,1.4,1.4,98.1
Greece,2010,53-53,144967,71770,73197,1.3,1.4,1.3,98.1
Greece,2010,54-54,143372,70968,72404,1.3,1.3,1.3,98.0
Greece,2010,55-55,140259,69545,70714,1.3,1.3,1.3,98.3
Greece,2010,56-56,135921,67492,68429,1.3,1.3,1.2,98.6
Greece,2010,57-57,134504,66653,67851,1.3,1.3,1.2,98.2
Greece,2010,58-58,133709,66281,67428,1.2,1.3,1.2,98.3
Greece,2010,59-59,132099,65417,66682,1.2,1.2,1.2,98.1
Greece,2010,60-60,128676,63382,65294,1.2,1.2,1.2,97.1
Greece,2010,61-61,125805,61458,64347,1.2,1.2,1.2,95.5
Greece,2010,62-62,126131,61227,64904,1.2,1.2,1.2,94.3
Greece,2010,63-63,127545,61653,65892,1.2,1.2,1.2,93.6
Greece,2010,64-64,125271,60250,65021,1.2,1.1,1.2,92.7
