" Single Year Age Groups for Custom Region - India"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
India,2010,Total,1173108018,608633795,564474223,100.0,100.0,100.0,107.8
India,2010,0+,24089627,12733727,11355900,2.1,2.1,2.0,112.1
India,2010,1-1,23765277,12587293,11177984,2.0,2.1,2.0,112.6
India,2010,2-2,23609953,12527030,11082923,2.0,2.1,2.0,113.0
India,2010,3-3,23504904,12483305,11021599,2.0,2.1,2.0,113.3
India,2010,4-4,23485146,12482284,11002862,2.0,2.1,1.9,113.4
India,2010,5-5,23539417,12517146,11022271,2.0,2.1,2.0,113.6
India,2010,6-6,23575657,12538382,11037275,2.0,2.1,2.0,113.6
India,2010,7-7,23583072,12542898,11040174,2.0,2.1,2.0,113.6
India,2010,8-8,23563911,12533001,11030910,2.0,2.1,2.0,113.6
India,2010,9-9,23533821,12517262,11016559,2.0,2.1,2.0,113.6
India,2010,10-10,23495272,12495473,10999799,2.0,2.1,1.9,113.6
India,2010,11-11,23431558,12458566,10972992,2.0,2.0,1.9,113.5
India,2010,12-12,23346411,12407573,10938838,2.0,2.0,1.9,113.4
India,2010,13-13,23230631,12339244,10891387,2.0,2.0,1.9,113.3
India,2010,14-14,23046341,12233984,10812357,2.0,2.0,1.9,113.1
India,2010,15-15,22793114,12091291,10701823,1.9,2.0,1.9,113.0
India,2010,16-16,22507636,11931143,10576493,1.9,2.0,1.9,112.8
India,2010,17-17,22190340,11754460,10435880,1.9,1.9,1.8,112.6
India,2010,18-18,21841721,11562535,10279186,1.9,1.9,1.8,112.5
India,2010,19-19,21491994,11332734,10159260,1.8,1.9,1.8,111.6
India,2010,20-20,21227991,11141590,10086401,1.8,1.8,1.8,110.5
India,2010,21-21,21055692,11021839,10033853,1.8,1.8,1.8,109.8
India,2010,22-22,20867020,10907275,9959745,1.8,1.8,1.8,109.5
India,2010,23-23,20659205,10787288,9871917,1.8,1.8,1.7,109.3
India,2010,24-24,20434796,10657510,9777286,1.7,1.8,1.7,109.0
India,2010,25-25,20198949,10520202,9678747,1.7,1.7,1.7,108.7
India,2010,26-26,19954959,10380582,9574377,1.7,1.7,1.7,108.4
India,2010,27-27,19704870,10239096,9465774,1.7,1.7,1.7,108.2
India,2010,28-28,19449620,10095896,9353724,1.7,1.7,1.7,107.9
India,2010,29-29,19190312,9951254,9239058,1.6,1.6,1.6,107.7
India,2010,30-30,18927725,9805013,9122712,1.6,1.6,1.6,107.5
India,2010,31-31,18663008,9657584,9005424,1.6,1.6,1.6,107.2
India,2010,32-32,18397208,9509616,8887592,1.6,1.6,1.6,107.0
India,2010,33-33,18130633,9360895,8769738,1.5,1.5,1.6,106.7
India,2010,34-34,17863880,9211242,8652638,1.5,1.5,1.5,106.5
India,2010,35-35,17598049,9060983,8537066,1.5,1.5,1.5,106.1
India,2010,36-36,17332938,8910205,8422733,1.5,1.5,1.5,105.8
India,2010,37-37,17067579,8758791,8308788,1.5,1.4,1.5,105.4
India,2010,38-38,16808313,8610503,8197810,1.4,1.4,1.5,105.0
India,2010,39-39,16414921,8400218,8014703,1.4,1.4,1.4,104.8
India,2010,40-40,15894055,8131446,7762609,1.4,1.3,1.4,104.8
India,2010,41-41,15391358,7872275,7519083,1.3,1.3,1.3,104.7
India,2010,42-42,14901483,7619775,7281708,1.3,1.3,1.3,104.6
India,2010,43-43,14423873,7373409,7050464,1.2,1.2,1.2,104.6
India,2010,44-44,13957455,7132456,6824999,1.2,1.2,1.2,104.5
India,2010,45-45,13501246,6896439,6604807,1.2,1.1,1.2,104.4
India,2010,46-46,13054082,6664917,6389165,1.1,1.1,1.1,104.3
India,2010,47-47,12614938,6437508,6177430,1.1,1.1,1.1,104.2
India,2010,48-48,12183557,6214248,5969309,1.0,1.0,1.1,104.1
India,2010,49-49,11759683,5995062,5764621,1.0,1.0,1.0,104.0
India,2010,50-50,11342889,5779642,5563247,1.0,0.9,1.0,103.9
India,2010,51-51,10932530,5567604,5364926,0.9,0.9,1.0,103.8
India,2010,52-52,10527575,5358325,5169250,0.9,0.9,0.9,103.7
India,2010,53-53,10126884,5151145,4975739,0.9,0.8,0.9,103.5
India,2010,54-54,9729494,4945542,4783952,0.8,0.8,0.8,103.4
India,2010,55-55,9334847,4741221,4593626,0.8,0.8,0.8,103.2
India,2010,56-56,8942642,4537939,4404703,0.8,0.7,0.8,103.0
India,2010,57-57,8553216,4335712,4217504,0.7,0.7,0.7,102.8
India,2010,58-58,8166839,4134539,4032300,0.7,0.7,0.7,102.5
India,2010,59-59,7793793,3939380,3854413,0.7,0.6,0.7,102.2
India,2010,60-60,7421410,3743366,3678044,0.6,0.6,0.7,101.8
India,2010,61-61,7086155,3564547,3521608,0.6,0.6,0.6,101.2
India,2010,62-62,6752151,3386132,3366019,0.6,0.6,0.6,100.6
India,2010,63-63,6423266,3210514,3212752,0.5,0.5,0.6,99.9
India,2010,64-64,6098871,3037710,3061161,0.5,0.5,0.5,99.2
India,2010,65-65,5778385,2867596,2910789,0.5,0.5,0.5,98.5
India,2010,66-66,5461644,2700088,2761556,0.5,0.4,0.5,97.8
India,2010,67-67,5148177,2534830,2613347,0.4,0.4,0.5,97.0
India,2010,68-68,4837238,2371330,2465908,0.4,0.4,0.4,96.2
India,2010,69-69,4528269,2209269,2319000,0.4,0.4,0.4,95.3
India,2010,70-70,4221347,2048798,2172549,0.4,0.3,0.4,94.3
India,2010,71-71,3917000,1890338,2026662,0.3,0.3,0.4,93.3
India,2010,72-72,3616117,1734528,1881589,0.3,0.3,0.3,92.2
India,2010,73-73,3319965,1582192,1737773,0.3,0.3,0.3,91.0
India,2010,74-74,3029838,1434096,1595742,0.3,0.2,0.3,89.9
India,2010,75-75,2746969,1290881,1456088,0.2,0.2,0.3,88.7
India,2010,76-76,2472494,1153093,1319401,0.2,0.2,0.2,87.4
India,2010,77-77,2207418,1021195,1186223,0.2,0.2,0.2,86.1
India,2010,78-78,1952849,895667,1057182,0.2,0.1,0.2,84.7
India,2010,79-79,1710003,777035,932968,0.1,0.1,0.2,83.3
India,2010,80-80,1478693,664973,813720,0.1,0.1,0.1,81.7
India,2010,81-81,1261170,560593,700577,0.1,0.1,0.1,80.0
India,2010,82-82,1061169,465841,595328,0.1,0.1,0.1,78.2
India,2010,83-83,879900,381139,498761,0.1,0.1,0.1,76.4
India,2010,84-84,718148,306667,411481,0.1,0.1,0.1,74.5
India,2010,85-89,1843160,756302,1086858,0.2,0.1,0.2,69.6
India,2010,90-94,385385,144418,240967,0.0,0.0,0.0,59.9
India,2010,95-99,42635,14453,28182,0.0,0.0,0.0,51.3
India,2010,100+,2282,707,1575,0.0,0.0,0.0,44.9
India,2011,Total,1189172906,617039156,572133750,100.0,100.0,100.0,107.8
India,2011,0+,24026645,12700958,11325687,2.0,2.1,2.0,112.1
India,2011,1-1,23735971,12571759,11164212,2.0,2.0,2.0,112.6
India,2011,2-2,23605117,12523303,11081814,2.0,2.0,1.9,113.0
India,2011,3-3,23519647,12489333,11030314,2.0,2.0,1.9,113.2
India,2011,4-4,23437966,12454878,10983088,2.0,2.0,1.9,113.4
India,2011,5-5,23434745,12460259,10974486,2.0,2.0,1.9,113.5
India,2011,6-6,23503752,12500302,11003450,2.0,2.0,1.9,113.6
India,2011,7-7,23548408,12524779,11023629,2.0,2.0,1.9,113.6
India,2011,8-8,23560774,12531405,11029369,2.0,2.0,1.9,113.6
India,2011,9-9,23544573,12522824,11021749,2.0,2.0,1.9,113.6
India,2011,10-10,23516083,12507797,11008286,2.0,2.0,1.9,113.6
India,2011,11-11,23478238,12486339,10991899,2.0,2.0,1.9,113.6
India,2011,12-12,23414505,12449415,10965090,2.0,2.0,1.9,113.5
India,2011,13-13,23328600,12398108,10930492,2.0,2.0,1.9,113.4
India,2011,14-14,23211369,12329176,10882193,2.0,2.0,1.9,113.3
India,2011,15-15,23024910,12222984,10801926,1.9,2.0,1.9,113.2
India,2011,16-16,22769000,12079145,10689855,1.9,2.0,1.9,113.0
India,2011,17-17,22480810,11917818,10562992,1.9,1.9,1.8,112.8
India,2011,18-18,22161422,11740090,10421332,1.9,1.9,1.8,112.7
India,2011,19-19,21811612,11547325,10264287,1.8,1.9,1.8,112.5
India,2011,20-20,21461139,11316908,10144231,1.8,1.8,1.8,111.6
India,2011,21-21,21196207,11125034,10071173,1.8,1.8,1.8,110.5
India,2011,22-22,21022756,11004356,10018400,1.8,1.8,1.8,109.8
India,2011,23-23,20832969,10888958,9944011,1.8,1.8,1.7,109.5
India,2011,24-24,20624103,10768279,9855824,1.7,1.7,1.7,109.3
India,2011,25-25,20397877,10637572,9760305,1.7,1.7,1.7,109.0
India,2011,26-26,20160371,10499392,9660979,1.7,1.7,1.7,108.7
India,2011,27-27,19915770,10359331,9556439,1.7,1.7,1.7,108.4
India,2011,28-28,19665247,10217496,9447751,1.7,1.7,1.7,108.1
India,2011,29-29,19409732,10073981,9335751,1.6,1.6,1.6,107.9
India,2011,30-30,19150144,9928633,9221511,1.6,1.6,1.6,107.7
India,2011,31-31,18887308,9781709,9105599,1.6,1.6,1.6,107.4
India,2011,32-32,18622215,9633853,8988362,1.6,1.6,1.6,107.2
India,2011,33-33,18355526,9485109,8870417,1.5,1.5,1.6,106.9
India,2011,34-34,18087541,9335261,8752280,1.5,1.5,1.5,106.7
India,2011,35-35,17819749,9184683,8635066,1.5,1.5,1.5,106.4
India,2011,36-36,17552711,9033366,8519345,1.5,1.5,1.5,106.0
India,2011,37-37,17285694,8881128,8404566,1.5,1.4,1.5,105.7
India,2011,38-38,17018775,8728573,8290202,1.4,1.4,1.4,105.3
India,2011,39-39,16758279,8579472,8178807,1.4,1.4,1.4,104.9
India,2011,40-40,16364449,8368956,7995493,1.4,1.4,1.4,104.7
India,2011,41-41,15843439,8100129,7743310,1.3,1.3,1.4,104.6
India,2011,42-42,15339890,7840430,7499460,1.3,1.3,1.3,104.5
India,2011,43-43,14848483,7586976,7261507,1.2,1.2,1.3,104.5
India,2011,44-44,14368620,7339188,7029432,1.2,1.2,1.2,104.4
India,2011,45-45,13899455,7096520,6802935,1.2,1.2,1.2,104.3
India,2011,46-46,13440220,6858642,6581578,1.1,1.1,1.2,104.2
India,2011,47-47,12989816,6625144,6364672,1.1,1.1,1.1,104.1
India,2011,48-48,12547296,6395674,6151622,1.1,1.0,1.1,104.0
India,2011,49-49,12112432,6170289,5942143,1.0,1.0,1.0,103.8
India,2011,50-50,11684979,5948920,5736059,1.0,1.0,1.0,103.7
India,2011,51-51,11264337,5731161,5533176,0.9,0.9,1.0,103.6
India,2011,52-52,10849628,5516531,5333097,0.9,0.9,0.9,103.4
India,2011,53-53,10439716,5304392,5135324,0.9,0.9,0.9,103.3
India,2011,54-54,10033443,5094081,4939362,0.8,0.8,0.9,103.1
India,2011,55-55,9629975,4885140,4744835,0.8,0.8,0.8,103.0
India,2011,56-56,9228986,4677380,4551606,0.8,0.8,0.8,102.8
India,2011,57-57,8830669,4470790,4359879,0.7,0.7,0.8,102.5
India,2011,58-58,8435919,4265651,4170268,0.7,0.7,0.7,102.3
India,2011,59-59,8045184,4062049,3983135,0.7,0.7,0.7,102.0
India,2011,60-60,7668273,3864706,3803567,0.6,0.6,0.7,101.6
India,2011,61-61,7292183,3666654,3625529,0.6,0.6,0.6,101.1
India,2011,62-62,6952560,3485514,3467046,0.6,0.6,0.6,100.5
India,2011,63-63,6614165,3304881,3309284,0.6,0.5,0.6,99.9
India,2011,64-64,6280726,3127077,3153649,0.5,0.5,0.6,99.2
India,2011,65-65,5951869,2952223,2999646,0.5,0.5,0.5,98.4
India,2011,66-66,5627098,2780216,2846882,0.5,0.5,0.5,97.7
India,2011,67-67,5305961,2610836,2695125,0.4,0.4,0.5,96.9
India,2011,68-68,4987740,2443626,2544114,0.4,0.4,0.4,96.1
India,2011,69-69,4671752,2278139,2393613,0.4,0.4,0.4,95.2
India,2011,70-70,4357811,2114250,2243561,0.4,0.3,0.4,94.2
India,2011,71-71,4046359,1952285,2094074,0.3,0.3,0.4,93.2
India,2011,72-72,3738246,1792807,1945439,0.3,0.3,0.3,92.2
India,2011,73-73,3434670,1636591,1798079,0.3,0.3,0.3,91.0
India,2011,74-74,3137026,1484497,1652529,0.3,0.2,0.3,89.8
India,2011,75-75,2846673,1337305,1509368,0.2,0.2,0.3,88.6
India,2011,76-76,2564817,1195625,1369192,0.2,0.2,0.2,87.3
India,2011,77-77,2292547,1059971,1232576,0.2,0.2,0.2,86.0
India,2011,78-78,2030883,930798,1100085,0.2,0.2,0.2,84.6
India,2011,79-79,1780924,808574,972350,0.1,0.1,0.2,83.2
India,2011,80-80,1542358,692962,849396,0.1,0.1,0.1,81.6
India,2011,81-81,1317598,585092,732506,0.1,0.1,0.1,79.9
India,2011,82-82,1110558,486970,623588,0.1,0.1,0.1,78.1
India,2011,83-83,922513,399087,523426,0.1,0.1,0.1,76.2
India,2011,84-84,754365,321672,432693,0.1,0.1,0.1,74.3
India,2011,85-89,1946447,797108,1149339,0.2,0.1,0.2,69.4
India,2011,90-94,412637,154135,258502,0.0,0.0,0.0,59.6
India,2011,95-99,46427,15647,30780,0.0,0.0,0.0,50.8
India,2011,100+,2524,774,1750,0.0,0.0,0.0,44.2
India,2012,Total,1205073612,625350835,579722777,100.0,100.0,100.0,107.9
India,2012,0+,23951519,12661119,11290400,2.0,2.0,1.9,112.1
India,2012,1-1,23688908,12546183,11142725,2.0,2.0,1.9,112.6
India,2012,2-2,23583393,12510648,11072745,2.0,2.0,1.9,113.0
India,2012,3-3,23518896,12487252,11031644,2.0,2.0,1.9,113.2
India,2012,4-4,23455636,12462088,10993548,1.9,2.0,1.9,113.4
India,2012,5-5,23389834,12433785,10956049,1.9,2.0,1.9,113.5
India,2012,6-6,23400686,12444109,10956577,1.9,2.0,1.9,113.6
India,2012,7-7,23477638,12487206,10990432,1.9,2.0,1.9,113.6
India,2012,8-8,23526963,12513686,11013277,2.0,2.0,1.9,113.6
India,2012,9-9,23542133,12521569,11020564,2.0,2.0,1.9,113.6
India,2012,10-10,23527444,12513662,11013782,2.0,2.0,1.9,113.6
India,2012,11-11,23499619,12498947,11000672,2.0,2.0,1.9,113.6
India,2012,12-12,23461727,12477450,10984277,1.9,2.0,1.9,113.6
India,2012,13-13,23397216,12440196,10957020,1.9,2.0,1.9,113.5
India,2012,14-14,23309834,12388262,10921572,1.9,2.0,1.9,113.4
India,2012,15-15,23190362,12318342,10872020,1.9,2.0,1.9,113.3
India,2012,16-16,23001146,12210940,10790206,1.9,2.0,1.9,113.2
India,2012,17-17,22742488,12065880,10676608,1.9,1.9,1.8,113.0
India,2012,18-18,22452152,11903467,10548685,1.9,1.9,1.8,112.8
India,2012,19-19,22131509,11724863,10406646,1.8,1.9,1.8,112.7
India,2012,20-20,21780934,11531419,10249515,1.8,1.8,1.8,112.5
India,2012,21-21,21429651,11300320,10129331,1.8,1.8,1.7,111.6
India,2012,22-22,21163712,11107628,10056084,1.8,1.8,1.7,110.5
India,2012,23-23,20989145,10986134,10003011,1.7,1.8,1.7,109.8
India,2012,24-24,20798302,10870049,9928253,1.7,1.7,1.7,109.5
India,2012,25-25,20587622,10748440,9839182,1.7,1.7,1.7,109.2
India,2012,26-26,20359763,10616875,9742888,1.7,1.7,1.7,109.0
India,2012,27-27,20121680,10478281,9643399,1.7,1.7,1.7,108.7
India,2012,28-28,19876649,10337888,9538761,1.6,1.7,1.6,108.4
India,2012,29-29,19625843,10195744,9430099,1.6,1.6,1.6,108.1
India,2012,30-30,19370017,10051514,9318503,1.6,1.6,1.6,107.9
India,2012,31-31,19110152,9905476,9204676,1.6,1.6,1.6,107.6
India,2012,32-32,18846912,9758120,9088792,1.6,1.6,1.6,107.4
India,2012,33-33,18580910,9609488,8971422,1.5,1.5,1.5,107.1
India,2012,34-34,18312800,9459623,8853177,1.5,1.5,1.5,106.9
India,2012,35-35,18043777,9308862,8734915,1.5,1.5,1.5,106.6
India,2012,36-36,17774779,9157233,8617546,1.5,1.5,1.5,106.3
India,2012,37-37,17505823,9004458,8501365,1.5,1.4,1.5,105.9
India,2012,38-38,17237222,8851071,8386151,1.4,1.4,1.4,105.5
India,2012,39-39,16969059,8697700,8271359,1.4,1.4,1.4,105.2
India,2012,40-40,16707685,8548121,8159564,1.4,1.4,1.4,104.8
India,2012,41-41,16313252,8337288,7975964,1.4,1.3,1.4,104.5
India,2012,42-42,15791355,8067917,7723438,1.3,1.3,1.3,104.5
India,2012,43-43,15286220,7807233,7478987,1.3,1.2,1.3,104.4
India,2012,44-44,14792502,7552323,7240179,1.2,1.2,1.2,104.3
India,2012,45-45,14309832,7302783,7007049,1.2,1.2,1.2,104.2
India,2012,46-46,13837569,7058209,6779360,1.1,1.1,1.2,104.1
India,2012,47-47,13375020,6818309,6556711,1.1,1.1,1.1,104.0
India,2012,48-48,12921169,6582709,6338460,1.1,1.1,1.1,103.9
India,2012,49-49,12475093,6351076,6124017,1.0,1.0,1.1,103.7
India,2012,50-50,12036585,6123474,5913111,1.0,1.0,1.0,103.6
India,2012,51-51,11605212,5899731,5705481,1.0,0.9,1.0,103.4
India,2012,52-52,11180138,5679337,5500801,0.9,0.9,0.9,103.2
India,2012,53-53,10760378,5461795,5298583,0.9,0.9,0.9,103.1
India,2012,54-54,10344771,5246460,5098311,0.9,0.8,0.9,102.9
India,2012,55-55,9932291,5032733,4899558,0.8,0.8,0.8,102.7
India,2012,56-56,9522343,4820271,4702072,0.8,0.8,0.8,102.5
India,2012,57-57,9115095,4609113,4505982,0.8,0.7,0.8,102.3
India,2012,58-58,8711303,4399519,4311784,0.7,0.7,0.7,102.0
India,2012,59-59,8312029,4191846,4120183,0.7,0.7,0.7,101.7
India,2012,60-60,7917408,3986038,3931370,0.7,0.6,0.7,101.4
India,2012,61-61,7536547,3786495,3750052,0.6,0.6,0.6,101.0
India,2012,62-62,7156518,3586350,3570168,0.6,0.6,0.6,100.5
India,2012,63-63,6812325,3402884,3409441,0.6,0.5,0.6,99.8
India,2012,64-64,6469291,3220021,3249270,0.5,0.5,0.6,99.1
India,2012,65-65,6131302,3040132,3091170,0.5,0.5,0.5,98.3
India,2012,66-66,5798063,2863352,2934711,0.5,0.5,0.5,97.6
India,2012,67-67,5468783,2689430,2779353,0.5,0.4,0.5,96.8
India,2012,68-68,5142746,2518030,2624716,0.4,0.4,0.5,95.9
India,2012,69-69,4819298,2348738,2470560,0.4,0.4,0.4,95.1
India,2012,70-70,4498127,2181304,2316823,0.4,0.3,0.4,94.2
India,2012,71-71,4179434,2015794,2163640,0.3,0.3,0.4,93.2
India,2012,72-72,3864001,1852694,2011307,0.3,0.3,0.3,92.1
India,2012,73-73,3552992,1692707,1860285,0.3,0.3,0.3,91.0
India,2012,74-74,3247748,1536658,1711090,0.3,0.2,0.3,89.8
India,2012,75-75,2949722,1385411,1564311,0.2,0.2,0.3,88.6
India,2012,76-76,2660246,1239716,1420530,0.2,0.2,0.2,87.3
India,2012,77-77,2380469,1100137,1280332,0.2,0.2,0.2,85.9
India,2012,78-78,2111486,967178,1144308,0.2,0.2,0.2,84.5
India,2012,79-79,1854317,841280,1013037,0.2,0.1,0.2,83.0
India,2012,80-80,1608526,722056,886470,0.1,0.1,0.2,81.5
India,2012,81-81,1376463,610651,765812,0.1,0.1,0.1,79.7
India,2012,82-82,1162243,509108,653135,0.1,0.1,0.1,77.9
India,2012,83-83,967289,417963,549326,0.1,0.1,0.1,76.1
India,2012,84-84,792561,337505,455056,0.1,0.1,0.1,74.2
India,2012,85-89,2056444,840536,1215908,0.2,0.1,0.2,69.1
India,2012,90-94,442120,164625,277495,0.0,0.0,0.0,59.3
India,2012,95-99,50644,16967,33677,0.0,0.0,0.0,50.4
India,2012,100+,2802,851,1951,0.0,0.0,0.0,43.6
India,2013,Total,1220800359,633563967,587236392,100.0,100.0,100.0,107.9
India,2013,0+,23871430,12618669,11252761,2.0,2.0,1.9,112.1
India,2013,1-1,23629132,12513291,11115841,1.9,2.0,1.9,112.6
India,2013,2-2,23543659,12487869,11055790,1.9,2.0,1.9,113.0
India,2013,3-3,23501131,12476195,11024936,1.9,2.0,1.9,113.2
India,2013,4-4,23457723,12461156,10996567,1.9,2.0,1.9,113.3
India,2013,5-5,23409543,12441831,10967712,1.9,2.0,1.9,113.4
India,2013,6-6,23357226,12418264,10938962,1.9,2.0,1.9,113.5
India,2013,7-7,23375691,12431519,10944172,1.9,2.0,1.9,113.6
India,2013,8-8,23457045,12476515,10980530,1.9,2.0,1.9,113.6
India,2013,9-9,23509015,12504191,11004824,1.9,2.0,1.9,113.6
India,2013,10-10,23525600,12512704,11012896,1.9,2.0,1.9,113.6
India,2013,11-11,23511537,12505092,11006445,1.9,2.0,1.9,113.6
India,2013,12-12,23483649,12490324,10993325,1.9,2.0,1.9,113.6
India,2013,13-13,23444958,12468478,10976480,1.9,2.0,1.9,113.6
India,2013,14-14,23378953,12430579,10948374,1.9,2.0,1.9,113.5
India,2013,15-15,23289301,12377623,10911678,1.9,2.0,1.9,113.4
India,2013,16-16,23167011,12306435,10860576,1.9,1.9,1.8,113.3
