" Single Year Age Groups for Custom Region - Malaysia"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
Malaysia,2010,Total,28274729,14360807,13913922,100.0,100.0,100.0,103.2
Malaysia,2010,0+,597082,307912,289170,2.1,2.1,2.1,106.5
Malaysia,2010,1-1,594609,306428,288181,2.1,2.1,2.1,106.3
Malaysia,2010,2-2,591916,304946,286970,2.1,2.1,2.1,106.3
Malaysia,2010,3-3,588671,303189,285482,2.1,2.1,2.1,106.2
Malaysia,2010,4-4,585023,301226,283797,2.1,2.1,2.0,106.1
Malaysia,2010,5-5,580955,299044,281911,2.1,2.1,2.0,106.1
Malaysia,2010,6-6,574824,295798,279026,2.0,2.1,2.0,106.0
Malaysia,2010,7-7,570073,293340,276733,2.0,2.0,2.0,106.0
Malaysia,2010,8-8,562645,289437,273208,2.0,2.0,2.0,105.9
Malaysia,2010,9-9,555700,285813,269887,2.0,2.0,1.9,105.9
Malaysia,2010,10-10,546639,280993,265646,1.9,2.0,1.9,105.8
Malaysia,2010,11-11,536799,275640,261159,1.9,1.9,1.9,105.5
Malaysia,2010,12-12,523678,268539,255139,1.9,1.9,1.8,105.3
Malaysia,2010,13-13,520226,266363,253863,1.8,1.9,1.8,104.9
Malaysia,2010,14-14,521665,266626,255039,1.8,1.9,1.8,104.5
Malaysia,2010,15-15,518798,264631,254167,1.8,1.8,1.8,104.1
Malaysia,2010,16-16,520674,265056,255618,1.8,1.8,1.8,103.7
Malaysia,2010,17-17,516565,262268,254297,1.8,1.8,1.8,103.1
Malaysia,2010,18-18,500370,253722,246648,1.8,1.8,1.8,102.9
Malaysia,2010,19-19,490231,248465,241766,1.7,1.7,1.7,102.8
Malaysia,2010,20-20,474591,239781,234810,1.7,1.7,1.7,102.1
Malaysia,2010,21-21,478157,240894,237263,1.7,1.7,1.7,101.5
Malaysia,2010,22-22,489222,246284,242938,1.7,1.7,1.7,101.4
Malaysia,2010,23-23,485329,244081,241248,1.7,1.7,1.7,101.2
Malaysia,2010,24-24,486875,244567,242308,1.7,1.7,1.7,100.9
Malaysia,2010,25-25,480396,240980,239416,1.7,1.7,1.7,100.7
Malaysia,2010,26-26,476515,238780,237735,1.7,1.7,1.7,100.4
Malaysia,2010,27-27,471704,236172,235532,1.7,1.6,1.7,100.3
Malaysia,2010,28-28,465868,233102,232766,1.6,1.6,1.7,100.1
Malaysia,2010,29-29,457052,228641,228411,1.6,1.6,1.6,100.1
Malaysia,2010,30-30,451205,225684,225521,1.6,1.6,1.6,100.1
Malaysia,2010,31-31,446690,223557,223133,1.6,1.6,1.6,100.2
Malaysia,2010,32-32,440343,220696,219647,1.6,1.5,1.6,100.5
Malaysia,2010,33-33,433516,217880,215636,1.5,1.5,1.5,101.0
Malaysia,2010,34-34,426962,215284,211678,1.5,1.5,1.5,101.7
Malaysia,2010,35-35,420392,212611,207781,1.5,1.5,1.5,102.3
Malaysia,2010,36-36,413233,209587,203646,1.5,1.5,1.5,102.9
