" Single Year Age Groups for Custom Region - Syria"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
Syria,2010,Total,21765977,11052145,10713832,100.0,100.0,100.0,103.2
Syria,2010,0+,526404,270270,256134,2.4,2.4,2.4,105.5
Syria,2010,1-1,529008,271497,257511,2.4,2.5,2.4,105.4
Syria,2010,2-2,521622,267684,253938,2.4,2.4,2.4,105.4
Syria,2010,3-3,528056,270853,257203,2.4,2.5,2.4,105.3
Syria,2010,4-4,528944,271198,257746,2.4,2.5,2.4,105.2
Syria,2010,5-5,524148,268689,255459,2.4,2.4,2.4,105.2
Syria,2010,6-6,523329,268211,255118,2.4,2.4,2.4,105.1
Syria,2010,7-7,519292,266045,253247,2.4,2.4,2.4,105.1
Syria,2010,8-8,522035,267487,254548,2.4,2.4,2.4,105.1
Syria,2010,9-9,523885,268464,255421,2.4,2.4,2.4,105.1
Syria,2010,10-10,521054,266964,254090,2.4,2.4,2.4,105.1
Syria,2010,11-11,516656,264658,251998,2.4,2.4,2.4,105.0
Syria,2010,12-12,512153,262271,249882,2.4,2.4,2.3,105.0
Syria,2010,13-13,505605,258928,246677,2.3,2.3,2.3,105.0
Syria,2010,14-14,498270,255167,243103,2.3,2.3,2.3,105.0
Syria,2010,15-15,489223,250448,238775,2.2,2.3,2.2,104.9
Syria,2010,16-16,477294,244204,233090,2.2,2.2,2.2,104.8
Syria,2010,17-17,474169,242459,231710,2.2,2.2,2.2,104.6
Syria,2010,18-18,476437,243472,232965,2.2,2.2,2.2,104.5
Syria,2010,19-19,476053,243116,232937,2.2,2.2,2.2,104.4
Syria,2010,20-20,474625,242263,232362,2.2,2.2,2.2,104.3
Syria,2010,21-21,470278,240040,230238,2.2,2.2,2.1,104.3
Syria,2010,22-22,466919,238476,228443,2.1,2.2,2.1,104.4
Syria,2010,23-23,452239,230957,221282,2.1,2.1,2.1,104.4
Syria,2010,24-24,434778,221974,212804,2.0,2.0,2.0,104.3
Syria,2010,25-25,421728,215322,206406,1.9,1.9,1.9,104.3
Syria,2010,26-26,409332,208981,200351,1.9,1.9,1.9,104.3
Syria,2010,27-27,398247,203342,194905,1.8,1.8,1.8,104.3
Syria,2010,28-28,384071,196241,187830,1.8,1.8,1.8,104.5
Syria,2010,29-29,366581,186482,180099,1.7,1.7,1.7,103.5
Syria,2010,30-30,349980,178130,171850,1.6,1.6,1.6,103.7
Syria,2010,31-31,333147,169506,163641,1.5,1.5,1.5,103.6
Syria,2010,32-32,317111,161047,156064,1.5,1.5,1.5,103.2
Syria,2010,33-33,298873,151409,147464,1.4,1.4,1.4,102.7
Syria,2010,34-34,282214,142517,139697,1.3,1.3,1.3,102.0
Syria,2010,35-35,272161,137424,134737,1.3,1.2,1.3,102.0
Syria,2010,36-36,263436,133052,130384,1.2,1.2,1.2,102.0
Syria,2010,37-37,257608,130342,127266,1.2,1.2,1.2,102.4
Syria,2010,38-38,250740,127277,123463,1.2,1.2,1.2,103.1
Syria,2010,39-39,245995,125386,120609,1.1,1.1,1.1,104.0
Syria,2010,40-40,242092,123544,118548,1.1,1.1,1.1,104.2
Syria,2010,41-41,237141,121106,116035,1.1,1.1,1.1,104.4
Syria,2010,42-42,230951,117833,113118,1.1,1.1,1.1,104.2
Syria,2010,43-43,218479,111090,107389,1.0,1.0,1.0,103.4
Syria,2010,44-44,206805,104798,102007,1.0,0.9,1.0,102.7
Syria,2010,45-45,197887,100223,97664,0.9,0.9,0.9,102.6
Syria,2010,46-46,188998,95630,93368,0.9,0.9,0.9,102.4
Syria,2010,47-47,181284,91765,89519,0.8,0.8,0.8,102.5
Syria,2010,48-48,171239,86544,84695,0.8,0.8,0.8,102.2
Syria,2010,49-49,161166,81278,79888,0.7,0.7,0.7,101.7
Syria,2010,50-50,151830,76558,75272,0.7,0.7,0.7,101.7
Syria,2010,51-51,143139,72003,71136,0.7,0.7,0.7,101.2
Syria,2010,52-52,135930,68252,67678,0.6,0.6,0.6,100.8
Syria,2010,53-53,129320,64785,64535,0.6,0.6,0.6,100.4
Syria,2010,54-54,123224,61576,61648,0.6,0.6,0.6,99.9
Syria,2010,55-55,117121,58370,58751,0.5,0.5,0.5,99.4
Syria,2010,56-56,111159,55244,55915,0.5,0.5,0.5,98.8
Syria,2010,57-57,105356,52192,53164,0.5,0.5,0.5,98.2
Syria,2010,58-58,97461,48145,49316,0.4,0.4,0.5,97.6
Syria,2010,59-59,89956,44302,45654,0.4,0.4,0.4,97.0
Syria,2010,60-60,83696,41000,42696,0.4,0.4,0.4,96.0
Syria,2010,61-61,78517,38317,40200,0.4,0.3,0.4,95.3
Syria,2010,62-62,74169,36037,38132,0.3,0.3,0.4,94.5
Syria,2010,63-63,70531,34171,36360,0.3,0.3,0.3,94.0
Syria,2010,64-64,67183,32462,34721,0.3,0.3,0.3,93.5
Syria,2010,65-65,63594,30547,33047,0.3,0.3,0.3,92.4
Syria,2010,66-66,60786,29110,31676,0.3,0.3,0.3,91.9
