" Single Year Age Groups for Custom Region - United Arab Emirates"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"United Arab Emirates",2010,Total,4975593,3418657,1556936,100.0,100.0,100.0,219.6
"United Arab Emirates",2010,0+,79757,40770,38987,1.6,1.2,2.5,104.6
"United Arab Emirates",2010,1-1,81023,41391,39632,1.6,1.2,2.5,104.4
"United Arab Emirates",2010,2-2,80984,41359,39625,1.6,1.2,2.5,104.4
"United Arab Emirates",2010,3-3,79908,40800,39108,1.6,1.2,2.5,104.3
"United Arab Emirates",2010,4-4,78025,39832,38193,1.6,1.2,2.5,104.3
"United Arab Emirates",2010,5-5,75475,38521,36954,1.5,1.1,2.4,104.2
"United Arab Emirates",2010,6-6,72686,37093,35593,1.5,1.1,2.3,104.2
"United Arab Emirates",2010,7-7,69390,35406,33984,1.4,1.0,2.2,104.2
"United Arab Emirates",2010,8-8,65939,33651,32288,1.3,1.0,2.1,104.2
"United Arab Emirates",2010,9-9,62721,32017,30704,1.3,0.9,2.0,104.3
"United Arab Emirates",2010,10-10,58720,30000,28720,1.2,0.9,1.8,104.5
"United Arab Emirates",2010,11-11,55051,28176,26875,1.1,0.8,1.7,104.8
"United Arab Emirates",2010,12-12,52608,27011,25597,1.1,0.8,1.6,105.5
"United Arab Emirates",2010,13-13,51250,26445,24805,1.0,0.8,1.6,106.6
"United Arab Emirates",2010,14-14,50710,26366,24344,1.0,0.8,1.6,108.3
"United Arab Emirates",2010,15-15,51260,26916,24344,1.0,0.8,1.6,110.6
"United Arab Emirates",2010,16-16,51860,27595,24265,1.0,0.8,1.6,113.7
"United Arab Emirates",2010,17-17,52724,28539,24185,1.1,0.8,1.6,118.0
"United Arab Emirates",2010,18-18,55162,30462,24700,1.1,0.9,1.6,123.3
"United Arab Emirates",2010,19-19,60092,33917,26175,1.2,1.0,1.7,129.6
"United Arab Emirates",2010,20-20,67385,38964,28421,1.4,1.1,1.8,137.1
"United Arab Emirates",2010,21-21,75915,45181,30734,1.5,1.3,2.0,147.0
"United Arab Emirates",2010,22-22,85853,52810,33043,1.7,1.5,2.1,159.8
"United Arab Emirates",2010,23-23,97646,62253,35393,2.0,1.8,2.3,175.9
"United Arab Emirates",2010,24-24,111143,73584,37559,2.2,2.2,2.4,195.9
"United Arab Emirates",2010,25-25,125802,86353,39449,2.5,2.5,2.5,218.9
"United Arab Emirates",2010,26-26,139764,99191,40573,2.8,2.9,2.6,244.5
"United Arab Emirates",2010,27-27,151266,110232,41034,3.0,3.2,2.6,268.6
"United Arab Emirates",2010,28-28,158652,117704,40948,3.2,3.4,2.6,287.4
"United Arab Emirates",2010,29-29,161320,120894,40426,3.2,3.5,2.6,299.1
"United Arab Emirates",2010,30-30,160085,120513,39572,3.2,3.5,2.5,304.5
"United Arab Emirates",2010,31-31,156410,117938,38472,3.1,3.4,2.5,306.6
"United Arab Emirates",2010,32-32,151587,114398,37189,3.0,3.3,2.4,307.6
"United Arab Emirates",2010,33-33,146394,110653,35741,2.9,3.2,2.3,309.6
"United Arab Emirates",2010,34-34,141124,106979,34145,2.8,3.1,2.2,313.3
"United Arab Emirates",2010,35-35,135867,103434,32433,2.7,3.0,2.1,318.9
"United Arab Emirates",2010,36-36,130464,99871,30593,2.6,2.9,2.0,326.5
"United Arab Emirates",2010,37-37,124811,96169,28642,2.5,2.8,1.8,335.8
"United Arab Emirates",2010,38-38,118858,92221,26637,2.4,2.7,1.7,346.2
"United Arab Emirates",2010,39-39,112679,88024,24655,2.3,2.6,1.6,357.0
"United Arab Emirates",2010,40-40,106303,83563,22740,2.1,2.4,1.5,367.5
"United Arab Emirates",2010,41-41,99707,78815,20892,2.0,2.3,1.3,377.2
"United Arab Emirates",2010,42-42,92937,73835,19102,1.9,2.2,1.2,386.5
"United Arab Emirates",2010,43-43,86095,68696,17399,1.7,2.0,1.1,394.8
"United Arab Emirates",2010,44-44,79284,63489,15795,1.6,1.9,1.0,402.0
"United Arab Emirates",2010,45-45,72597,58305,14292,1.5,1.7,0.9,408.0
"United Arab Emirates",2010,46-46,66218,53268,12950,1.3,1.6,0.8,411.3
"United Arab Emirates",2010,47-47,60213,48445,11768,1.2,1.4,0.8,411.7
"United Arab Emirates",2010,48-48,54599,43870,10729,1.1,1.3,0.7,408.9
"United Arab Emirates",2010,49-49,49358,39549,9809,1.0,1.2,0.6,403.2
"United Arab Emirates",2010,50-50,44439,35485,8954,0.9,1.0,0.6,396.3
"United Arab Emirates",2010,51-51,39852,31699,8153,0.8,0.9,0.5,388.8
"United Arab Emirates",2010,52-52,35575,28187,7388,0.7,0.8,0.5,381.5
"United Arab Emirates",2010,53-53,31621,24973,6648,0.6,0.7,0.4,375.6
"United Arab Emirates",2010,54-54,28020,22043,5977,0.6,0.6,0.4,368.8
"United Arab Emirates",2010,55-55,24798,19422,5376,0.5,0.6,0.3,361.3
